Question,Answer,,Question,Answer,,Question,Answer
"In 2009, Lego introduced a new toy model made of what architect’s iconic Guggenheim Museum?",FRANK LLOYD WRIGHT,,What sport’s college teams traditionally compete in post-season games called “bowls”?,FOOTBALL,,"In February 2011,what cell phone provider began selling the iPhone,ending AT&T’s run as its exclusive carrier?",VERIZON WIRELESS
"In 2009, Scotland allowed convicted Lockerbie bomber Abdel Basset to return to what home country?",LIBYA,,What state contains the ten tallest peaks in the U.S.,ALASKA,,"In figure skating,which of these crowd-pleasing maneuvers requires two skaters?",DEATH SPIRAL
"In 2009, the Fiesta of San Fermin in Pamplona, Spain, held its first look-alike contest honoring what author?",ERNEST HEMINGWAY,,What state’s capital and largest city sits on the shores of Narragansett Bay?,RHODE ISLAND,,"In film credits,which of these actors is typically listed with his full middle name,and not just a middle initial?",PHILLIP HOFFMAN
"In 2009, the International Olympic Committee named what city as the host of the 2016 games?",RIO DE JANEIRO,,"What state’s former chief executive once inspired the bumper sticker, “Coldest State.Hottest Governor”?",ALASKA,,"In finance, what adjective is used to describe a person’s income after taxes have been taken out?",DISPOSABLE
"In 2009, the U.S. Navy rescued Captain Richard Phillips from pirates off the coast of what nation?",SOMALIA,,What state’s standard license plates feature the motto “The First State”?,DELAWARE,,"In France,”haricot vert” is the term used for which of these vegetables?",GREEN BEAN
"In 2009, Utah’s Fitness Ridge Resort & Spa teamed up with a popular reality show and renamed itself what?",THE BIGGEST LOSER RESORT,,"What supernatural film features a psychic giving a lonely widow the warning, “Molly, you in danger girl”?",GHOST,,"In Frank Sinatra’s ode to “New York,New York,” what completes the famous line,”Start spreading the news”?",I’M LEAVING TODAY
"In 2009, what country’s runaway inflation led their reserve bank to issue 100 trillion dollar bills?",ZIMBABWE,,"What tattooed celebrity has the name of his three sons, Brooklyn, Romeo, and Cruz, inked on his back?",DAVID BECKHAM,,"In French cuisine,a remoulade is a type of what?",SAUCE
"In 2009, what major corporation changed its slogan to “More saving. More doing.” to reflect the times?",HOME DEPOT,,What tech company proudly notes that its name is a reference to an ancient gourd that was used to “hold precious things”?,HULU,,"In genealogical terms, your grandfather’s great-great granddaughter is best described as your what?","FIRST COUSIN, TWICE REMOVED"
"In 2009, what pizza chain revamped its recipe amid customer complaints that their old crust tasted “like cardboard”?",DOMINO’S,,What term is often used to describe a session of Congress held after the elections but before the new term?,LAME DUCK,,"In geometry, which of these measurements applies only to circles and not triangles?",CIRCUMFERENCE
"In 2009, what pro athlete launched his own TV show in which he tackles other pros at their jobs?",SHAQUILLE O’NEAL,,What terms refers to the tendency for shoppers to buy small comfort items during a recession?,LIPSTICK EFFECT,,"In Germany,which of these common household items is known as a “fingerhut”?",THIMBLE
"In 2009, which of these “Family Guy” characters moved to Stoolbend, VA to star in his own spin-off?",CLEVELAND BROWN,,"What Tim Burton film was advertised with the tagline “His story will touch you,even though he can’t”?",EDWARD SCISSORHANDS,,"In golf,if you “bogey” a hole,what score did you get?",ONE STROKE OVER PAR
"In 2009,astronomers discovered a “supersized” ring around what planet,much further away than its other known rings?",SATURN,,"What Tony-winning Broadway musical features a cast of risque, R-rated puppets?",AVENUE Q,,"In Gray’s Anatomy, what bone in the human wrist is described as having a “crescentic outline”?",SEMILUNAR
"In 2009,Barack Obama completed his much-hyped first 100 days in office on the 29th of what month?",APRIL,,What toy was once reportedly banned in Japan because people looked indecent when they used it?,HULA HOOP,,"In Greek myth,what form did Zeus assume when he seduced Leda?",SWAN
"In 2009,Crystal Renn released her book “Hungry,” which chronicles her experiences as a what?",PLUS-SIZE MODEL,,What track and field event is also known as the “quarter mile”?,400 METERS,,"In Greek mythology, who succeeded in killing Achilles?",PARIS
"In 2009,England’s Prince Harry made his first official visit to the U.S. to participate in what charity event?",POLO MATCH,,"What trade magazine is famous for its distinctive jargon,inventing words like “boffo” and “whammo”?",VARIETY,,"In Greek mythology,who is the goddess of the rainbow?",IRIS
"In 2009,Utah’s Fitness Ridge Resort & Spa teamed up with a popular reality show and renamed itself what?",THE BIGGEST LOSER RESORT,,What traditional M&M’s Milk Chocolate candy color was replaced by blue in 1995?,TAN,,"In health insurance parlance, the abbreviation “PPO” usually denotes what type of organization?",PREFERRED PROVIDER
"In 2009,what politician released a much-anticipated memoir titled “Going Rogue:An American Life”?",SARAH PALIN,,"What TV actress’ first job was as one of “The Love Boat Mermaids,” a dance troupe on “The Love Boat”?",TERI HATCHER,,"In her 1985 number one single. Whitney Houston asks, “How will I know if” what?",HE REALLY LOVES ME
"In 2009,what rapper beat Elvis Presley’s record for most No.1 albums on the Billboard charts by a solo artist?",JAY-Z,,"What TV cartoon centers on two stepbrothers,their pet platypus and an evil scientist named Dr.Doofenshmirtz?",PHINEAS AND FERB,,"In her memoir,”Then Again,” what actress explains the origins of her love of men’s hats?",DIANE KEATON
"In 2009,what U.S. president was on hand as an 11-foot statue honoring him was unveiled in Kosovo?",BILL CLINTON,,"What TV chef released the 2010 book “Savannah Style,” illustrating a full year of Southern living?",PAULA DEEN,,"In hiking, the marks on trees that indicate the trail are called what?",BLAZES
"In 2009,which of these singers released a men’s cologned called “Southern Blend”?",TIM MCGRAW,,What TV drama is based on the popular Sookie Stackhouse novels by Charlaine Harris?,TRUE BLOOD,,"In hip-hop lingo,the word “shorty” commonly refers to a what?",YOUNG WOMAN
"In 2010 Jeff Bridges received a Best Actor Oscar for his performance as Bad Blake, who is a what?",COUNTRY SINGER,,"What TV drama’s opening narration begins, “My name is Michael Weston. I used to be a spy, until…”",BURN NOTICE,,"In his 1989 book “From Beirut to Jerusalem,” Thomas Friedman recounts a journey he once took from Lebanon to where?",ISRAEL
In 2010 President Obama and a former NBA athlete played what fitting version of the game H-O-R-S-E?,P-O-T-U-S,,What TV network operates the website jokes.com?,COMEDY CENTRAL,,"In his 1999 film “The Sixth Sense,” director M. Night Shyamalan makes a cameo appearance playing a what?",DOCTOR
In 2010 what sitcom aired a live episode featuring Julia Lewis-Drayfus as “Liz Lemon” in flashbacks?,30 ROCK,,What TV personality’s fans express their allegiance by proclaiming themselves members of “Team Coco”?,CONAN O’BRIEN,,"In his hit 1983 song,Elton John ponders “I guess that’s why they call it” what?",THE BLUES
In 2010 what TV host changed his time slot from 11:00 to midnight to accommodate Conan O’Brien?,GEORGE LOPEZ,,"What TV sitcom was based on a novel by H.Richard Hornberger,a surgeon and Korean War veteran?",M*A*S*H,,"In his memoir, George W. Bush reveals his “all-time low” in office was hearing what rapper’s harsh, post-Katrina comments?",KANYE WEST
In 2010 who became the first living person to acquire more than 10 million fans on Facebook?,LADY GAGA,,"What TV star was famous for his stage-exiting catch-phrase, “And away we go”?",JACKIE GLEASON,,"In his memoir,celebrity chef Anthony Bourdain warns against ordering which of these foods on a Monday?",FISH
"In 2010, a British government official praised which of these TV actresses as a curvy role model for women?",CHRISTINA HENDRICKS,,What two-word term is used by publishers to refer to all unsolicited manuscripts they receive?,SLUSH PILE,,"In his Oscar acceptance speech, what actor asked for a moment of silence for the victims of the Titanic?",JAMES CAMERON
"In 2010, a fed-up flight attendant on what airline dramatically deplaned via an inflatable emergency chute?",JET BLUE,,What type of clothing is a monokini?,SWIMSUIT,,"In his satirical essay “A Modest Proposal,” Jonathan Swift proposed that Ireland’s poor do what with their children?",SELL THEM TO BE EATEN
"In 2010, a U.S. assemblyman advocated a bill to allow the “Spanish pronunciation” of what state’s name?",NEVADA,,What type of cloud is typically associated with fair weather?,CUMULUS,,"In honor of the famous race held in its capital,what state’s commemorative quarter features a racecar?",INDIANA
"In 2010, actress Portia de Rossi petitioned to legally change her last name to what?",DEGENERES,,What type of jewelry appropriately gets its name from the French for “long needle”?,BROOCH,,"In humans, what joint causes the “click” or “pop” that’s heard when mouths open and close?",TEMPORAMANDIBULAR JOINT
"In 2010, after a young fan asked for help with a “mutiny,” Johnny Depp visited a U.K. school dressed as what character?",CAPTAIN JACK SPARROW,,What type of neckline gets its name because it is traditionally seen on sweaters by rowers?,CREW NECK,,"In humans,the trachea is a tube that runs in front of what other body part?",ESOPHAGUS
"In 2010, an out-of-control Amish teenager led police on a wild one-mile chase involving what?",HORSE-DRAWN BUGGY,,What type of scientist is commonly referred to as a “prehistorian”?,ARCHAELOGIST,,"In Internet chat and text lingo,”ITA” is typically short for what phrase?",I TOTALLY AGREE
"In 2010, Apple introduces a video calling service for the iphone 4 with what snappy name?",FACETIME,,What type of soup is known affectionately as “Jewish penicillin”?,CHICKEN SOUP,,"In its final episode, what TV show revealed that the hospital was actually inside a snowglobe?",ST ELSEWHERE
"In 2010, Elian Gonzalez announced he was thankful he had returned to what homeland 10 years earlier?",CUBA,,What type of vehicle “with the fringe on top” is the subject of a classic song from the musical “Oklahoma!”?,SURREY,,"In its logo,the fast food chain Wendy’s described its hamburgers as what?",OLD FASHIONED
"In 2010, for the first time in 27 years, the House of Reps censured one of its members, Charlie Rangel of what state?",NEW YORK,,What U.S. agency is headquartered in a D.C.-area neighborhood known as “Langley”?,CIA,,"In its third season,what TV drama featured an actor playing real-life hotel tycoon Conrad “Connie” Hilton?",MAD MEN
"In 2010, Louise Brown, the world’s first “test tube baby” turned what age?",32,,What U.S. agency’s website features the motto “Moving America Safely”?,FAA*CORRECT*,,"In its title, a fitness article posted online asks the age-old question “Can You Get Six Pack Abs Without” what?",CRUNCHES
"In 2010, Nicki Minaj became the first woman ever named to MTVs list of “hottest” what?",MCs,,What U.S. city has a public transportation system known as MARTA?,ATLANTA,,"In its TV ads,which brand of cat food is known for featuring a fluffy white cat eating from a crystal goblet?",FANCY FEAST
"In 2010, Oprah hosted a reunion special for “The Color Purple,” in which she talked about playing what role?",SOFIA,,"What U.S. city is home to Grant’s tomb, the final resting place of President Ulysses S. Grant?",NEW YORK,,"In its written form,which of these languages has over 50,000 characters but no alphabet?",CHINESE
"In 2010, Reba McEntire won praise for cover of “If I Were a Boy,” originally a hit single by whom?",BEYONCE,,"What U.S. city was founded by 11 men,11 women,22 children,and 4 soldiers,collectively known as “Los Pobladores”?",LOS ANGELES,,"In January 2012,many websites,including Google,loudly protested a proposed law known as SOPA,the “Stop Online” what?",PIRACY ACT
"In 2010, Russell Brand and Katy Perry were quietly married near what country’s Rathambore tiger sanctuary?",INDIA,,"What U.S. city’s layout is based on plans by Pierre Charles L’Enfant, who was inspired by the Palace of Versailles?","WASHINGTON,D.C.",,"In keeping with its maritime image,what fashion label’s logo features a J-class sailboat?",NAUTICA
"In 2010, Target recalled a T-shirt featuring the now-banned flag of what country’s Francoist regime?",SPAIN,,What U.S. institution is nicknamed “The Nation’s Attic”?,SMITHSONIAN INSTITUTE,,"In keeping with its name,what Web Site once billed itself as “The World’s Greatest Recipe Collection”?",EPICURIOUS.COM
"In 2010, the Pentagon estimated that which poor nation is home to $1 trillion in untapped precious minerals?",AFGHANISTAN,,What U.S. landmark exists today as a result of the Boulder Canyon Project Act of 1928?,HOOVER DAM,,"In law, what is the term for a document that revises a person’s will?",CODICIL
"In 2010, Time.com announced the retirement of Takeru “Tsunami” Kobayashi, a legend in what field?",COMPETITIVE EATING,,What U.S. landmark is outfitted with multiple foghorns because its locale is so often enveloped in dense fog?,GOLDEN GATE BRIDGE,,"In law,the time period during which a person may be sued is called the “statute of” what?",LIMITATIONS
"In 2010, TV personality Jo Frost announced her retirement from what popular reality show?",SUPERNANNY,,What U.S. movie was released in France under the title “La Guerre des Etoiles”?,STAR WARS,,"In law,what is the term for a child who has been officially released from the control of his parents?",EMANCIPATED
"In 2010, what actress became a mother again at the age of 48 when she gave birth to a boy named Benjamin?",KELLY PRESTON,,What U.S. president famously declared that he felt as “strong as a bull moose?”,THEODORE ROOSEVELT,,"In law,what is the term for a document that revises a person’s will?",CODICIL
"In 2010, what actress helped her 3-year old son launch his own Twitter account “Liam’s World?”",TORI SPELLING,,What U.S. president is commonly credited with inventing the swivel chair?,THOMAS JEFFERSON,,"In Los Angeles in 1927, Sid Grauman opened a now-famous what?",MOVIE THEATER
"In 2010, what author revealed that he was writing his memoir about his years living under a “fatwa” death sentence?",SALMAN RUSHDIE,,What U.S. president was famous for his involvement with a volunteer cavalry group known as the Rough Riders?,THEODORE ROOSEVELT,,"In lunch counter lingo,what kind of bread does a customer get if his sandwich is “on whiskey?”",RYE
"In 2010, what comedienne became the first woman in 16 years to host MTV’s Video Music Awards?",CHELSEA HANDLER,,What U.S. president’s mother was given the rather unusual first name Stanley?,BARACK OBAMA,,"In Mafia lingo,the phrase “sleeping with the fishes” refers to person who is what?",DECEASED
"In 2010, what company’s founder surprisingly donated $100 million to the public schools of Newark, NJ?",FACEBOOK,,What U.S. reality show has a Chinese version whose title translates to “Forward at High Speeds”?,THE AMAZING RACE,,"In math, a ratio is commonly written as two numbers separated by which of these punctuation marks?",COLON
"In 2010, what country’s cultural minister banned mullets and ponytails for men as being “decadent”?",IRAN,,What U.S. state is divided into two regions called the Upper Peninsula and the Lower Peninsula?,MICHIGAN,,"In math, which of these numbers is a common denominator of the fractions 1/3 and 2/5?",15
"In 2010, what formerly married couple announced their respective engagements within days of each other?",JESSICA SIMPSON & NICK LACHEY,,What U.S. state is home to a city that promotes itself with the catchphrase “There’s No Place Like Nome!”?,ALASKA,,"In math,what two letters are used to identify the horizontal and vertical axes on a graph?",X AND Y
"In 2010, what Fortune 500 company overtook Royal Dutch Shell to become the largest in the world?",WALMART,,What U.S. state is home to a university whose football team is known as “The Ragin Cajuns?”,LOUISIANA,,"In mathematics,what punctuation mark is commonly used between numbers to indicate a ratio?",COLON
"In 2010, what openly graying sitcom star revealed, “I dyed my hair red the whole time I was on ‘Friends'”?",MATT LEBLANC,,What U.S. state is home to both Boise National Forest and Coeur d’Alene National Forest?,IDAHO,,"In Mexico, a tortilla is a thin corn or flour flatbread, but in Spain, a tortilla is a what?",POTATO OMELET
"In 2010, what philanthropist announced plans to give away 99 percent of his estimated $47 billion fortune?",WARREN BUFFETT,,"What U.S. state is home to England’s historic London Bridge, which was dismantled and moved in 1968?",ARIZONA,,"In Michael Jackson’s “You Rock My World” video,what actor makes a fitting cameo as the boss of “The Waterfront Hotel”?",MARLON BRANDO
"In 2010, what political duo made headlines by divorcing after 40 years of marriage?",AL AND TIPPER GORE,,What U.S. state is home to the airport with the three-letter identification code “DFW”?,TEXAS,,"In military time, what number denotes one minute past midnight?",0001 ..
"In 2010, what snack brand unveiled a new bag that, when crinkled, is reportedly louder than a jet cockpit?",SUN CHIPS,,What U.S. state is home to the International Tennis Hall of Fame?,RHODE ISLAND,,"In movies, what actor has twice portrayed Dr. Alex Cross, the hero of several James Patterson movies?",MORGAN FREEMAN
"In 2010, what “reality” show finale revealed that its last scene was actually filmed on a Hollywood set?",THE HILLS,,What U.S. state name is featured on labels of Jim Beam whiskey?,KENTUCKY,,"In movies,Eric Bana and Edward Norton have both played a comic book character that was played on TV by whom?",BILL BIXBY
"In 2010, which of these figures was vilified for his seemingly callous remark, “I’d like my life back”?",CEO OF BP,,"What U.S. state was denied statehood until 1896, after it agreed to ban the practice of polygamy?",UTAH,,"In music industry lingo, an artist’s record “drops” when it what?",GETS RELEASED
"In 2010, who coined the term “mama grizzly” to refer to the female political candidates she endorses?",SARAH PALIN,,What U.S. state’s 3 most populous cities all have names beginning with the letter “C”?,OHIO,,"In music industry lingo,an artist’s record “drops” when it does what?",GETS RELEASED
"In 2010, Whole Foods pulled what beverage from its shelves amid concerns over its high alcohol content?",KOMBUCHA,,What U.S. state’s capital city is named after Revolutionary War hero Francis Nash?,TENNESSEE,,"In musical notation,a flat is denoted by a symbol resembling what lowercase letter?",B
"In 2010, “Survivor:Nicaragua” was won by Jud Birza,a 21-year-old male model with with apt nickname?",FABIO,,What U.S. state’s capital was named after “the Most Holy Sacrament of the Body and blood of Christ”?,CALIFORNIA,,"In musical notation,a set of five horizontal lines and four spaces on which music is written is known as a what?",STAFF
"In 2010,a single violinist set a world record by playing what frenetic classical piece in just over one minute?",FLIGHT OF THE BUMBLEBEE,,What U.S. state’s history of mining has earned it the nickname “The Silver State”?,NEVADA,,"In musical theater,when a dancer shakes his open palms to the audience with fingers splayed,it is known as what?",JAZZ HANDS
"In 2010,actor Steve Carell announced he was leaving what TV show after the 2010/2011 season?",THE OFFICE,,"What U.S. state’s largest city is named for Frederick Billings, a president of the Northern Pacific Railway?",MONTANA,,"In NASCAR racing, how many cars traditionally start in each race?",43
"In 2010,Alaska’s Lisa Murkowski became the first senate candidate since 1954 to do what?",WIN AS A WRITE-IN CANDIDATE,,What U.S. town holds an annual “Wyatt Earp Days” festival to celebrate its most famous lawman?,"TOMBSTONE, AZ",,"In New Orleans, the “po boy” is a signature style of what?",SANDWICH
"In 2010,an Oregon man changed his name to “Captain Awesome” in honor of a character from what TV show?",CHUCK,,"What unit of measure is still based on a century-old platinum-iridium cylinder kept near Paris, France?",KILOGRAM,,"In office for 22 years,Richard M. Daley was the longest serving mayor of what U.S. city?",CHICAGO
"In 2010,an out-of-control Amish teenager led police on a wild one-mile chase while driving a what?",HORSE-DRAWN BUGGY,,What university lists its official colors as “Madonna blue and papal gold”?,UNIVERSITY OF NOTRE DAME,,"In one of 2010’s biggest viral videos,a hiker laughs and cries for three minutes at the sight of a what?",DOUBLE RAINBOW
"In 2010,Angus T.Jones topped the list of “TV’s Richest Kids” for playing Jake Harper on what sitcom?",TWO AND A HALF MEN,,What urban clothing brand was co-founded by hip-hop mogul Jay-Z?,FUBU,,"In one of his fireside chats,what U.S. president described America as a great “Arsenal of Democracy”?",FRANKLIN ROOSEVELT
"In 2010,Barbara Walters joked she chose a cow valve for her heart surgery over one from what non-kosher animal?",PIG,,"What vegetable plant produces a soft,yellowish “silk,” often used in herbal remedies?",CORN,,"In order to perform the Heimlech maneuver on a choking person,you usually put your arms where?",AROUND HIS WAIST
"In 2010,country star Kenny Chesney’s 40-acre home was all wet when floods washed over what city?",NASHVILLE,,What vegetable’s name is an answer to the common riddle “What has eyes but cannot see”?,POTATO,,"In order to play the banjo more effectively, what comedian maintains acrylic nails nails on two of his picking fingers?",STEVE MARTIN
"In 2010,Doris Roberts reunited with “Raymond” castmate Patricia Heaton when she guest starred on what sitcom?",THE MIDDLE,,What veteran performer stars alongside Christina Aguilera in the 2010 musical “Burlesque”?,CHER,,"In order to “ford” a stream, how does a person cross it?",BY WADING
"In 2010,Pennsylvania introduced machines that check customers’ breath and ID before vending what?",WINE,,"What was the first James Bond movie to show 007 ordering a martini,”shaken,not stirred”?",GOLDFINGER,,"In orthodontics,dental braces that are fitted behind the teeth,so as not to be visible,are called what?",LINGUAL
"In 2010,Rhonda Byrne released “The Power,” a follow-up to what controversial 2006 self-help book?",THE SECRET,,What was the first name of the man who created Webster’s dictionary?,NOAH,,"In Pamplona’s Running of the Bulls, brave tourists run through the streets wearing what distinctive piece of clothing?",RED SCARVES
"In 2010,Robert Halderman was sentenced to six months in jail for attempting to blackmail what late night comic?",DAVID LETTERMAN,,What was the name of a Santa Fe roadside attraction that featured dozens of refrigerators stacked in a circle?,STONEFRIDGE,,"In Paris, the Moulin Rouge nightclub is located in what historic neighborhood?",MONTMARTE
"In 2010,the long-running “Cathy” comic strip ended,with Cathy making what revelation?",SHE’S HAVING A BABY GIRL,,What was the name of the cocker spaniel featured in a famous 1952 address by Richard Nixon?,CHECKERS,,"In performing Darth Vader’s stunts,Bob Anderson called on his skills as an Olympic what?",FENCER
"In 2010,the media reported “World War I Officially Ends” after what country paid off its $33 billion war debt?",GERMANY,,What was the relationship between U.S. Presidents William and Benjamin Harrison?,GRANDFATHER & GRANDSON,,"In physics equations, what letter is typically used to represent the speed of light?",c
"In 2010,the New York Post reported a bank robber dressed as whom made off with an “Alderaan-sized wad of cash”?",DARTH VADER,,What was the relationship of fashion designer Donatella Versace to the late Gianni Versace?,SISTER,,"In physics,the point at which an object can be balanced is called its “center of” what?",GRAVITY
"In 2010,the space shuttle Atlantis honored Isaac Newton by carrying what into space?",A PIECE OF AN APPLE TREE,,"What was the subject of a 1964 decision in which Justice Potter Stewart wrote, “I know it when I see it”?",OBSCENITY,,"In pool,if you accidentally shoot the cue ball into a pocket,what have you done?",SCRATCHED
"In 2010,the Triple-A team known as the Bisons celebrated its 125th season of professional baseball in what town?","BUFFALO,NY",,What was the world’s tallest man-made structure for over 43 centuries?,PYRAMID AT GIZA,,"In popular money slang,if you have five “Lincolns” and five “Hamiltons,” how much cash do you have?",$75 
"In 2010,two-year old Indonesian Ardi Rizal gained worldwide notoriety for doing what?",SMOKING 40 CIGARETTES PER DAY,,What was the world’s tallest man-made structure for over 45 centuries?,PYRAMID AT GIZA,,"In pregnant women,what is the name of the thin,fluid-filled membrane that surrounds the fetus?",AMNION
"In 2010,video game fanatics lined up at midnight to buy the “Black Ops” sequel in what popular game series?",CALL OF DUTY,,What weather-related term is in the title of a nursery rhyme with a line “The old man is snoring”?,RAINY,,"In preparation for hosting the 2008 Olympics, what country launched a campaign to stop public spitting?",CHINA
"In 2010,what 37-year-old model resigned her 13-year post as “Head Angel” of Victoria’s Secret?",HEIDI KLUM,,What well-known patriotic song features the line “From sea to shining sea”?,AMERICA THE BEAUTIFUL,,"In publishing,what nickname is commonly used for novels that are geared toward a female readership?",CHICK LIT
"In 2010,what comic’s live talk about his novel “An Object of Beauty” was deemed so boring guests were offered refunds?",STEVE MARTIN,,What Will Ferrell movie features several actors who are credited as “Background Sleestak”?,LAND OF THE LOST,,"In real estate lingo, buying a house with the intention of quickly reselling it for a profit is called what?",FLIPPING
"In 2010,what country saw its first official state visit by a pope since breaking with the Vatican in 1534?",ENGLAND,,What word of Yiddish origin means “pleasantly plump”?,ZAFTIG,,"In real estate listings, the common acronym “FSBO” means “for sale” what?",BY OWNER
"In 2010,what food mascot was given a makeover and new voice,courtesy of Robert Downey Jr.?",MR.PEANUT,,What words are on the official flag of the Salvation Army?,BLOOD AND FIRE,,"In real estate listings,”a/g pl” stands for a swimming pool that is what?",ABOVEGROUND
"In 2010,what nation began a “convictourism” program to attract foreigners descended from long-ago prisoners?",AUTRALIA,,What world leader travels on an airplane nicknamed “Shepherd One”?,POPE,,"In recent years,several U.S. cities and towns have passed ordinances banning what contentious fashion trend?",SAGGY PANTS
"In 2010,what right-wing pundit started TheBlaze.com,his own conservative news website?",GLENN BECK,,What world religion is based on five basic requirements known as the five “pillars”?,ISLAM,,"In response to a new immigration law, what city’s NBA team donned “Los Suns” jerseys in May 2010?",PHOENIX
"In 2010,what Senate hopeful released an odd political ad in which she declared,”I’m not a witch”?",CHRISTINE O’DONNELL,,What world-famous building has a roof that was reportedly inspired by the sections of an orange?,SYDNEY OPERA HOUSE,,"In restaurant lingo,a server who is falling behind is said to be where?",IN THE WEEDS
"In 2010,what singer released an album featuring a philharmonic orchestra,aptly titled “Symphonicities”?",STING,,"What would be the name of Crosby,Stills,Nash & Young if its members’ last names were replaced with their first names?","DAVID,STEPHEN,GRAHAM & NEIL",,"In Robert Louis Stevenson’s novel “Treasure Island,” Long John Silver has a pet parrot named what?",CAPTAIN FLINT
"In 2010,what teen pop star’s fragrance line “My World”,debuted on scented wristbands at Walmart?",JUSTIN BIEBER,,"What would be the name of ’60s folk group Peter,Paul and Mary if their last names replaced their first names?","YARROW,STOOKEY AND TRAVERS",,"In Rodin’s statue “The Thinker,” which of these correctly describes the pose of the man’s arm touching his head?",RIGHT ELBOW ON LEFT KNEE
"In 2010,what word did Gawker coin for a star getting a “career bump without actually being an addict”?",PREHAB,,What writer sought out his former college professor Morrie Schwarz after seeing him on an episode of “Nightline”?,MITCH ALBOM,,"In Roman mythology, Vulcan was the god of what?",FIRE
"In 2010,what “tell-it-like-it-is” comedian replaced John O’Hurley as the host of TV’s “Family Feud”?",STEVE HARVEY,,"What ’70s movie features the oft-quoted line, “I’m as mad as hell, and I’m not going to take this anymore”?",NETWORK,,"In roman numerals, how is the year 2011 written?",MMXI
"In 2011, a religiously devout programmer released “Confession,” an iPhone app with what subtitle?",A ROMAN CATHOLIC APP,,What ’70s song invariably compels dancers to spell out each letter of the song’s title using their bodies?,Y.M.C.A.,,"In scientific classification,which of the taxonomic ranks are ranked in the right order,from highest to lowest?","FAMILY,GENUS,SPECIES"
"In 2011, Newsweek artificially “aged” a photo of Princess Diana to suggest what she might have looked like at what age?",50,,"What ’80s film is loosely based on events in Elmore City,Oklahoma,where dancing was banned for almost 100 years?",FOOTLOOSE,,"In Shakespearean English, the word “ere” was commonly used to mean what?",BEFORE
"In 2011, Rolling Stone named “Tubthumping,” “Barbie Girl” and “I’m Too Sexy” among the “Worst Songs of” what decade?",THE NINETIES,,"What ’80s musical act notoriously demanded M&Ms be provided backstage,but with the brown ones removed?",VAN HALEN,,"In Shakespeare’s “Richard III,” the main character famously shouts, “My kingdom for a” what?",HORSE
"In 2011, the child of what U.S. president released a timely memoir called “My Father at 100”?",RONALD REAGAN,,What ’90s sitcom often featured a character doing a strange dance to Tom Jones’s “It’s Not Unusual”?,THE FRESH PRINCE OF BEL-AIR,,"In some cases, “hands-only” CPR can be as effective as the original method, which also involves doing what to the patient?",BREATHING INTO HIS MOUTH
"In 2011, the Oxford English Dictionary added an entry for “Dutch colonial,” a term used to designate a style of what?",ARCHITECTURE,,What “Beverly Hills 90210” co-star competed on “Dancing With The Stars” a season after her fellow co-star Ian Ziering?,JENNIE GARTH,,"In Spain, which of these popular reality TV shows goes by the name, “No te lo pongas!”",WHAT NOT TO WEAR
"In 2011, TheOnion.com joked that what cereal was now being sold with “15 Percent Less Leprechaun Meat”?",LUCKY CHARMS,,What “casual dining” restaurant uses the slogan “Eatin’ Good in the Neighborhood”?,APPLEBEE’S,,"In Spain,which of these meals is typically taken at 9:00 p.m.?",LA CENA
"In 2011, Time Magazine named what movie’s Jack Torrance as the “Worst Fictional Father” of all time?",THE SHINING,,"What “Sesame Street” character is famous for having a single,oversized eyebrow?",BROW,,"In Spanish cuisine,the dish “gambas al ajillo” is literally what main ingredient in garlic sauce?",SHRIMP
"In 2011, what British reality TV judge replaced Larry King upon his retirement from his nightly CNN show?",PIERS MORGAN,,What “SNL” cast member based his “Coffee Talk” character Linda Richman on his then mother-in-law?,MIKE MEYERS,,"In Spanish, which of these wines is not considered a “vino tinto”?",RIESLING
"In 2011, what country elected its first ever female prime minister, Yingluck Shinawatra?",THAILAND,,What’s the CORRECT spelling of the winning word in the first-ever Scripps National Spelling Bee in 1925?,GLADIOLUS,,"In Spanish,”de nada” is a standard response to which of these niceties?",MUCHAS GRACIAS
"In 2011,a crashed truck in Georgia burst into flames because it was loaded with what highly flammable foodstuff?",MARGARINE,,"What’s unusual about the way Ziggy, the loveable comic strip character, is commonly depicted?",HE DOESN’T WEAR PANTS,,"In street lingo, “Scratch” is slang for what?",MONEY
"In 2011,a national poll found that only 51 percent of Republicans knew that GOP stands for what?",GRAND OLD PARTY,,Whcih of these adjectives refers to a legendary English king and not a famous English writer?,ARTHURIAN,,"In surfing and skateboarding,a person who rides with their right foot forward is known as a what?",GOOFY FOOT
"In 2011,a Utah KFC controversially donated $1 for every giant soda sold to help cure what sugar-sensitive disease?",DIABETES,,"When a 1968 football game ended in a tie,the Harvard Crimson newspaper ran what famous headline?",HARVARD BEATS YALE 29-29,,"In tabloid gossip,the term “new ink” refers to a star’s newly acquired what?",TATTOO
"In 2011,actor Luke Wilson,rapper Snoop Dogg and comedian Amy Poehler all turned what age?",40 *CORRECT*,,"When a person assumes the “fetal position,” what do they do?",CURL UP IN A BALL,,"In taste tests,60% of consumers indicate preferring the “creamy” over the “crunchy” version of what food?",PEANUT BUTTER
"In 2011,an actress identified only as “Jane Doe” sued the movie website IMDB.com for revealing her what?",AGE,,"When a person is at rest,about how long does it take for all of his blood to circulate through his heart?",ONE MINUTE,,"In teen girl slang, if someone is your “BFF,” she is your what “Forever”?",BEST FRIEND
